INGESTION_ID,INGESTED_AT,CREDIT_CARD_NUMBER,DATE_TIME,ID,ITEMS
3,2023-04-06 08:28:53.892000,3534118906250666,2022-12-07 22:57:35,4cd1974f5be885220ab629a5228c2ebf,"[""Blazer"",""Slacks"",""Loafers""]"
3,2023-04-06 08:28:53.892000,3575177399469647,2023-02-11 20:01:45,0aba79867bd7d7b7823264e9408d095b,"[""Button-up Shirt"",""Khakis""]"
3,2023-04-06 08:28:53.892000,6333020302312124279,2023-03-09 11:22:30,0484eb3108c06aed5e6a354e5203d721,"[""Vest"",""Jeans"",""Sneakers""]"
3,2023-04-06 08:28:53.892000,3551078881931920,2023-02-12 22:10:49,5ff7f4e02b59ad20f55f53b94a77368f,"[""Crop Top"",""Shorts""]"
3,2023-04-06 08:28:53.892000,3537111546909475,2023-03-16 06:46:57,4b48465f9060140312d689dfd076a71f,"[""Sweater Dress"",""Tights"",""Heels""]"
3,2023-04-06 08:28:53.892000,3557546242325275,2022-08-23 11:26:17,cd1675b2f0e20c56c8ea1f3e47afc577,"[""Turtleneck"",""Corduroy Pants""]"
4,2023-04-11 09:30:15.123000,1234567890123456,2023-04-10 18:15:30,83f15e2fbb7f1b2208ef8423f07f54e8,"[""T-Shirt"",""Jeans"",""Sneakers""]"
4,2023-04-11 09:30:15.123000,9876543210987654,2023-04-09 21:45:10,f439b6fc0f0bc8f2317b36afbdca19f7,"[""Hoodie"",""Leggings"",""Boots""]"
4,2023-04-11 09:30:15.123000,5678901234567890,2023-04-08 14:30:45,3b095264fc87e528edf91e16f2d51cd1,"[""Dress"",""Sandals""]"
4,2023-04-11 09:30:15.123000,9876543210123456,2023-04-07 10:20:15,83ff2aa7d37d0e7836ca5cf6f5c5a5d2,"[""Jacket"",""Pants"",""Loafers""]"
4,2023-04-11 09:30:15.123000,1234567890987654,2023-04-06 19:55:55,ecb252044b5ea0f679ee78ec1a129047,"[""Sweater"",""Shorts"",""Flip Flops""]"
4,2023-04-11 09:30:15.123000,5678901230987654,2023-04-05 08:40:30,6bc1bf76f56292e54ef33e8b51aa9d2f,"[""Blouse"",""Skirt"",""Heels""]"
4,2023-04-11 09:30:15.123000,9876543210234567,2023-04-04 14:25:10,0fd4f83af3dcbd8940563b221f6866a4,"[""Tank Top"",""Shorts"",""Sandals""]"
4,2023-04-11 09:30:15.123000,1234567890876543,2023-04-03 20:10:45,1be4a4e4f1b19883c773e3aebf3c2d75,"[""Hoodie"",""Leggings"",""Sneakers""]"
4,2023-04-11 09:30:15.123000,5678901234560987,2023-04-02 07:55:25,2623a98d2c07b9fde7c8d70e439b0c83,"[""Dress"",""Sandals""]"
4,2023-04-11 09:30:15.123000,9876543210123456,2023-04-01 15:40:10,9b7db8f94ba2464337e93bfa68b8d59a,"[""Jacket"",""Pants"",""Loafers""]"
